Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 253-ETD IRUN-PASAIA, GI-636 pk 2,100, GI-636 pk 2,600;Lento PASAIA;0;29;25;1;82,27;49;6;55;
2025-10-13;01:00:00 - 01:30:00;N-634;[N-634] 45-ETD SANTANDER-SAN SEBASTIÁN, N-634 pk 54,000, N-634 pk 57,600;Lento SANTANDER;0;7;0;0;65;7;0;7;
2025-10-13;01:00:00 - 01:30:00;N-634;[N-634] 45-ETD SANTANDER-SAN SEBASTIÁN, N-634 pk 54,000, N-634 pk 57,600;Lento SAN SEBASTIÁN;1;6;0;0;59,29;6;1;7;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 84-ETD IRUN-PASAIA, GI-636 pk 9,500, GI-636 pk 12,500;Lento PASAIA;0;23;5;0;71,25;26;2;28;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 84-ETD IRUN-PASAIA, GI-636 pk 9,500, GI-636 pk 12,500;Central PASAIA;0;4;6;0;86;10;0;10;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 84-ETD IRUN-PASAIA, GI-636 pk 9,500, GI-636 pk 12,500;Lento IRUN;0;13;4;0;73,24;14;3;17;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 84-ETD IRUN-PASAIA, GI-636 pk 9,500, GI-636 pk 12,500;Central IRUN;0;3;1;0;73,75;3;1;4;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Rápido USURBIL, AP-8;0;6;9;0;86;15;0;15;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Central USURBIL, AP-8;0;4;16;1;95,24;21;0;21;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Lento USURBIL, AP-8;0;12;27;1;90,5;34;6;40;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Rápido ERRENTERIA AP-8;0;0;2;0;100;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Central ERRENTERIA AP-8;0;13;30;1;90,57;37;7;44;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Lento ERRENTERIA AP-8;0;3;11;0;92,5;13;1;14;
2025-10-13;01:00:00 - 01:30:00;GI-3591;[GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900;Lento OÑATI;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-3591;[GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900;Lento ARANTZAZU;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 248-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,200, GI-20 pk 13,800;Central USURBIL, AP-8;0;0;11;0;100;11;0;11;
